episode_time_s,vehicle_order,vehicle_id,position_m,speed_mps,space_headway_m,time_headway,preceding
0.0,0,395,128.4277848,10.686288000000001,30.873192000000003,2.89,383
0.1,0,395,129.4936704,10.783824000000001,31.0134,2.88,383
0.2,0,395,130.57662480000002,10.924032000000002,31.101792000000003,2.85,383
0.3,0,395,131.6830488,11.030712,31.123128,2.82,383
0.4,0,395,132.7964832,11.061192,31.092648000000004,2.81,383
0.5,0,395,133.8989448,11.07948,31.031688000000003,2.8,383
0.6,0,395,134.99622480000002,11.195304,30.925008,2.76,383
0.7,0,395,136.11849840000002,11.426952000000002,30.763464000000003,2.69,383
0.8,0,395,137.2852728,11.625072000000001,30.550104,2.63,383
0.9,0,395,138.4739928,11.625072000000001,30.318456,2.61,383
1.0,0,395,139.64320560000002,11.39952,30.108144000000003,2.64,383
1.1,0,395,140.76639360000001,11.073384,29.940504000000004,2.7,383
1.2,0,395,141.84264240000002,10.86612,29.82468,2.74,383
1.3,0,395,142.90548,10.893552000000001,29.736288000000002,2.73,383
1.4,0,395,143.9923968,11.149584,29.638752,2.66,383
1.5,0,395,145.1283864,11.548872000000001,29.513784,2.56,383
1.6,0,395,146.3021712,11.951208000000001,29.379672000000003,2.46,383
1.7,0,395,147.5253336,12.210288000000002,29.233368,2.39,383
1.8,0,395,148.7680032,12.28344,29.09316,2.37,383
1.9,0,395,149.9975664,12.277344000000001,28.965144000000002,2.36,383
2.0,0,395,151.2161568,12.292584,28.83408,2.35,383
2.1,0,395,152.4438912,12.35964,28.675584,2.32,383
2.2,0,395,153.696924,12.380976,28.486608,2.3,383
2.3,0,395,154.9475184,12.222480000000001,28.30068,2.32,383
2.4,0,395,156.1600128,11.935967999999999,28.154376000000003,2.36,383
2.5,0,395,157.32892080000002,11.692128,28.053792000000005,2.4,383
2.6,0,395,158.4713112,11.631167999999999,27.977592000000005,2.41,383
2.7,0,395,159.6258936,11.76528,27.889200000000002,2.37,383
2.8,0,395,160.81369920000003,11.969496000000001,27.76728,2.32,383
2.9,0,395,162.0292416,12.13104,27.617928000000003,2.28,383
3.0,0,395,163.2542328,12.195048,27.465528000000003,2.25,383
3.1,0,395,164.47556640000002,12.198096000000001,27.307032000000003,2.24,383
