follower_id,leader_id,samples,duration_s,leader_std_mps,follower_std_mps,gain,lag_s,maximum_correlation
22,13,417,41.6,0.8295004240928519,0.9550628281470952,1.151371114959416,1.8,0.7993760083132174
26,22,426,42.5,0.9596759303191901,0.8984296757783351,0.9361802743969161,1.2000000000000002,0.8496854354143343
32,26,426,42.5,0.9137483151158867,0.8863833355921662,0.9700519507713128,1.7000000000000002,0.830285242172124
37,32,341,34.0,0.8750821392059406,1.1902814220135423,1.3601939391582338,3.9000000000000004,0.38379035070681417
69,71,201,20.0,0.41815536630630484,0.8513466788180041,2.035957798026632,3.3000000000000003,0.6302612281217416
84,78,399,39.8,0.9826265632945175,1.171525888677119,1.1922391806194066,1.9000000000000001,0.8288352456202489
94,84,444,44.3,1.1292228513673002,1.16101053872069,1.0281500567535453,4.4,0.8375383258745279
105,94,442,44.1,1.1580465657342334,1.1273510300714706,0.973493694838341,2.0,0.8764808878107407
116,105,410,40.9,1.1621525434230746,0.9864281609172684,0.8487940473044813,1.1,0.7882497668347803
120,116,246,24.5,0.869387380642206,0.9173609556555969,1.055180896435319,1.3,0.6966976574484035
127,120,431,43.0,1.0663245714501066,1.2780280965677886,1.198535728038025,2.8000000000000003,0.6962713576459355
136,127,287,28.6,1.0217993582205016,0.9445744084462503,0.9244225892755098,2.5,0.7557963967944684
151,146,442,44.1,1.2226177606692266,1.5943907484115623,1.3040794921372953,2.4000000000000004,0.880616703309438
159,151,441,44.0,1.6102284267129905,1.7207355310603558,1.0686282160432026,1.9000000000000001,0.895279053618193
78,71,266,26.5,0.6310731628238547,0.7920874618900052,1.255143632389091,2.0,0.6152071443058881
164,159,446,44.5,1.7847393009523713,2.1968310858263145,1.230897467576381,1.7000000000000002,0.9279723518373955
175,164,442,44.1,2.2570696112590913,2.39821302122143,1.0625339197596138,1.0,0.9243154900643724
180,175,450,44.9,2.56938327134213,2.66290156367309,1.0363971749073118,1.1,0.9508309737305148
184,180,450,44.9,2.752899524221063,2.757699460172174,1.0017435928586855,1.6,0.9476926803452719
196,184,446,44.5,2.9379869508256267,1.9326448312826083,0.6578125987726055,1.4000000000000001,0.9532944118752644
212,203,440,43.9,2.1215586228427052,2.0192001039280765,0.9517531508144341,0.9,0.9415946736238254
225,212,380,37.9,1.9741822526434927,1.2278493855496773,0.621953410788466,0.0,0.8566549729668136
141,136,232,23.1,0.6640041489117328,0.8593587386607604,1.2942068811907326,2.2,0.5271410975527402
146,141,250,24.9,0.8363906156914214,1.0077666313765012,1.204899496084623,4.4,0.7354025866643652
227,225,438,43.7,1.725339462743321,2.3640547947049693,1.370196906611108,2.2,0.9380004564751919
234,227,423,42.2,2.400979971817882,2.140201512928532,0.8913866579687026,2.1,0.9264044464398113
242,234,446,44.5,2.2764007350023676,1.6665303240307574,0.7320900482968014,5.0,0.9202888212276172
250,242,457,45.6,1.9130743926018183,1.6741375302637271,0.8751032038993881,0.4,0.9438223040940554
272,250,447,44.6,1.7431196580490287,1.5738466970214984,0.9028907968274608,0.7000000000000001,0.8156227546499478
203,196,304,30.3,2.039169487797078,2.351843690319709,1.1533340923320767,0.8,0.9592771410958149
281,272,469,46.8,1.6757091467742307,1.881341786725443,1.1227138017042269,1.5,0.8557258681433728
292,281,463,46.2,1.9582464448252324,1.5795390022097495,0.8066088956187119,3.5,0.8500882283800247
297,292,483,48.2,1.63564574571484,1.9996191117330575,1.2225257926245805,1.4000000000000001,0.9144878993370622
304,297,476,47.5,1.9849215360858772,1.6930960516663531,0.8529788310952668,2.2,0.952253137097706
311,304,486,48.5,1.6990269324443823,1.5748972703724244,0.9269407331328332,1.9000000000000001,0.9050020687538015
331,329,440,43.9,1.3388528804810638,1.381731547448754,1.0320264217172863,1.1,0.950222506721647
344,331,474,47.3,1.8720140613760348,1.3109845392442274,0.700306993570647,0.4,0.781290731035625
351,344,481,48.0,1.2422559237173814,1.3410671790105775,1.079541786363561,0.8,0.7515657680087787
364,351,485,48.4,1.2488052920038775,1.142963658745862,0.915245688070253,2.2,0.7128911639675612
372,364,489,48.8,0.9965854548544992,1.168048810339286,1.172050830813922,1.6,0.745101608569215
379,372,492,49.1,1.063894566282722,1.145787410207345,1.0769745861291116,2.2,0.6434012812826181
383,379,482,48.1,1.0060621730439248,1.1986940876072498,1.1914711831183367,2.0,0.7441857978228328
329,311,326,32.5,1.3652660347843575,1.4362775340327358,1.0520129391921733,1.5,0.9212303264701078
395,383,309,30.8,1.133906323460585,1.2283713051265088,1.0833093349172132,2.5,0.805927088051732
399,395,499,49.8,1.0952035081467841,1.09307675841445,0.9980581237034816,1.9000000000000001,0.7783878299358818
405,399,299,29.8,1.2775738091926048,1.0528046784513898,0.8240656397901085,0.8,0.6741874262420057
411,405,289,28.8,1.0513619857558678,1.0061484089438228,0.9569952333976208,3.5,0.5546905668168232
418,411,444,44.3,0.9943757085012369,1.1765577273031644,1.1832124590779873,1.5,0.6482845888697603
426,418,311,31.0,1.2759525892664072,0.9253939880045764,0.725257345601391,2.8000000000000003,0.7056175538028606
431,426,493,49.2,1.0086334648733328,1.3486107679129729,1.3370672448215224,1.1,0.7996179683704856
440,431,475,47.4,1.3628461466746127,1.40921749552903,1.0340253732731055,1.9000000000000001,0.9011702096321594
446,440,464,46.3,1.37935984270132,0.9519322742583726,0.6901261329995811,3.1,0.4810660736847573
450,446,335,33.4,1.0731776414968182,1.1475125104394703,1.0692661364422142,1.0,0.44302954142851286
456,450,313,31.2,1.1396475016059089,1.0674554541294634,0.9366540554208932,1.4000000000000001,0.7540290913343155
